"Mobi","14747000"
"Up","14368000"
"Picanto","13243000"
"Forester","9800000"
"208","7425000"
"Corolla","4368000"
"WRX","3750000"
"Pajero","2680000"
"L200","2580000"
"onix","1418400"
"XV","1280000"
"Brz","1200000"
"Yaris","1125000"
"Lancer","990000"
"Clio","979000"
"E-JS1","870000"
"March","601000"
"2008","570000"
"Duster","460000"
"Sandero","374000"
"Saveiro","360000"
"Captur","350000"
"Cronos","320000"
"Gol","288000"
"E-J7","270000"
"Cerato","254000"
"Sandero RS","240000"
"Uno","191000"
"T-Cross","180000"
"J2","165000"
"argo","154000"
"Kombi","125000"
"J5","125000"
"Eclipse","124000"
"Jetta","120000"
"Polo","99000"
"Rio","89000"
"206","72000"
"Palio","35000"
"307","19000"
